Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
2015-01-01,Ahmedabad,,,0.92,18.22,17.15,,0.92,27.64,133.36,0.0,0.02,0.0,,
2015-01-02,Delhi,186.18,269.55,62.09,32.87,88.14,31.83,9.54,6.65,29.97,10.55,20.09,4.29,454.0,Severe
2015-01-03,Delhi,87.18,131.9,25.73,30.31,47.95,69.55,10.61,2.65,19.71,3.91,10.23,1.99,143.0,Moderate
2015-01-04,Mumbai,,,,,25.97,,0.0,,,0.0,0.0,0.0,159.3846153846154,
2015-01-05,Lucknow,,,2.32,12.27,4.22,,13.34,169.48,20.6,2.49,4.78,,175.76923076923077,
2015-01-06,Lucknow,,,2.33,12.91,4.3,,14.21,178.63,21.49,2.93,4.6,,192.15384615384613,
2015-01-07,Mumbai,,,,,27.08,,0.0,,,0.0,0.0,0.0,208.53846153846155,
2015-01-08,Lucknow,,,4.19,24.45,3.97,,12.68,169.0,19.69,3.01,5.38,,224.9230769230769,
2015-01-09,Ahmedabad,,,29.16,31.0,48.0,,29.16,58.68,25.75,0.0,0.0,0.0,241.3076923076923,
2015-01-10,Chennai,,,10.2,19.17,11.15,3.96,0.98,17.36,27.19,0.04,,,257.6923076923077,
2015-01-11,Hyderabad,,,14.0,31.96,45.96,,0.39,12.53,38.74,1.02,10.4,1.23,274.0769230769231,
2015-01-12,Mumbai,,,,,28.44,,0.0,,,0.0,0.0,0.0,290.46153846153845,
2015-01-13,Chennai,,,48.95,64.35,12.73,6.06,0.97,16.44,17.25,0.78,0.96,,306.8461538461538,
2015-01-14,Mumbai,,,,,28.59,,0.0,,,0.0,0.0,0.0,323.2307692307692,
2015-01-15,Lucknow,,,2.44,8.73,5.06,,11.83,,36.26,1.63,2.79,,339.6153846153846,
2015-01-16,Delhi,174.98,309.99,42.33,49.41,70.6,136.4,11.46,4.69,34.7,7.75,15.83,3.75,356.0,Very Poor
2015-01-17,Chennai,,,9.57,17.4,12.93,3.77,1.7,10.44,26.34,0.03,,,352.4,
2015-01-18,Bengaluru,,,6.16,17.2,18.79,14.23,9.04,22.18,22.48,23.23,20.05,,348.8,
2015-01-19,Mumbai,,,,,26.78,,0.0,,,0.0,0.0,0.0,345.2,
2015-01-20,Chennai,,,21.82,27.9,11.76,20.14,1.99,8.52,32.32,0.06,,,341.6,
2015-01-21,Delhi,159.54,235.27,12.27,22.56,33.02,63.23,9.01,7.05,18.56,4.1,8.26,2.72,338.0,Very Poor
2015-01-22,Mumbai,,,,,24.28,,0.0,,,0.0,0.0,0.0,296.0,
2015-01-23,Delhi,128.73,136.07,11.99,17.35,29.46,39.98,8.74,6.77,10.91,2.51,7.64,2.49,254.0,Poor
2015-01-24,Chennai,,,12.39,9.89,14.62,4.36,0.84,7.39,37.17,,,,264.57142857142856,
2015-01-25,Ahmedabad,,,1.42,20.43,20.19,,1.42,58.41,39.26,0.01,0.0,0.94,275.14285714285717,
2015-01-26,Ahmedabad,,,2.27,21.16,21.81,,2.27,43.73,39.83,0.06,0.0,1.55,285.7142857142857,
2015-01-27,Mumbai,,,,,27.26,,0.0,,,0.0,0.0,0.0,296.2857142857143,
2015-01-28,Lucknow,,,3.06,28.51,3.13,,7.78,,47.82,2.83,5.75,,306.85714285714283,
2015-01-29,Lucknow,,,2.42,21.54,2.21,,12.85,,56.81,3.14,7.29,,317.42857142857144,
2015-01-30,Ahmedabad,79.84,,13.85,28.68,41.08,,13.85,48.49,97.07,0.04,0.0,4.81,328.0,Very Poor
2015-01-31,Ahmedabad,94.52,,24.39,32.66,52.61,,24.39,67.39,111.33,0.24,0.01,7.67,514.0,Severe
2015-02-01,Hyderabad,,,10.45,32.65,43.1,,0.58,5.06,23.39,0.83,7.44,1.62,714.0,
2015-02-02,Ahmedabad,178.33,,54.56,35.31,72.8,,54.56,55.04,107.38,0.46,0.06,35.61,914.0,Severe
2015-02-03,Hyderabad,,,4.29,19.41,23.71,,0.41,3.65,38.1,0.51,4.02,0.9,824.8333333333334,
2015-02-04,Mumbai,,,,,29.13,,0.0,,,0.0,0.0,0.0,735.6666666666666,
2015-02-05,Mumbai,,,,,28.98,,0.0,,,0.0,0.0,0.0,646.5,
2015-02-06,Hyderabad,,,17.96,36.6,54.55,,0.52,4.75,22.69,0.89,7.82,2.02,557.3333333333333,
2015-02-07,Mumbai,,,,,27.46,,0.0,,,0.0,0.0,0.0,468.16666666666663,
2015-02-08,Ahmedabad,74.28,,8.92,27.3,33.42,,8.92,54.28,47.42,0.0,0.0,0.27,379.0,Very Poor
2015-02-09,Lucknow,,,5.69,33.45,4.22,,17.17,,34.11,2.55,3.87,,369.75,
2015-02-10,Hyderabad,,,3.95,12.77,16.73,,0.29,3.38,39.34,0.38,2.81,0.67,360.5,
2015-02-11,Lucknow,,,6.41,28.63,4.22,,16.55,179.18,42.61,2.62,3.82,,351.25,
2015-02-12,Delhi,177.98,394.97,30.48,42.73,58.19,69.47,13.75,9.2,25.58,3.5,7.38,10.65,342.0,Very Poor
2015-02-13,Delhi,167.01,328.43,32.23,44.61,55.13,83.96,11.26,7.77,27.62,3.53,7.69,11.45,341.0,Very Poor
2015-02-14,Lucknow,,,6.27,35.7,4.46,,17.62,,29.49,2.67,3.88,,337.5,
2015-02-15,Lucknow,,,3.3,21.52,4.05,,14.7,159.23,43.28,2.45,4.03,,334.0,
2015-02-16,Mumbai,,,,,25.47,,0.0,,,0.0,0.0,0.0,330.5,
2015-02-17,Delhi,161.27,195.78,23.71,25.4,42.76,75.66,10.3,5.6,41.62,3.04,5.62,3.78,327.0,Very Poor
2015-02-18,Bengaluru,,,17.48,23.38,23.51,6.34,3.23,17.62,28.85,40.42,42.4,,323.6666666666667,
